pattern,match_type,enabled,priority,category,scope_hint,scan_phase,parser_mode,confidence_hint,reason
effort:,frontmatter_key,True,52,skill_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Effort override in skill/agent.
context:,frontmatter_key,True,58,skill_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Forked subagent execution setting.
agent:,frontmatter_key,True,58,skill_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Agent used when context=fork.
hooks:,frontmatter_key,True,60,skill_frontmatter_or_settings,markdown_frontmatter,foreground,frontmatter_only,candidate,Skill/agent lifecycle hooks.
paths:,frontmatter_key,True,64,skill_or_rule_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Path-gated skill/rule field.
shell:,frontmatter_key,True,48,skill_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Shell selection for inline commands.
tools:,frontmatter_key,True,54,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Subagent tool allowlist.
disallowedTools:,frontmatter_key,True,54,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Subagent tool denylist.
maxTurns:,frontmatter_key,True,48,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Subagent turn limit.
memory:,frontmatter_key,True,48,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Subagent memory setting.
background:,frontmatter_key,True,42,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Background subagent flag.
isolation:,frontmatter_key,True,44,agent_frontmatter,markdown_frontmatter,foreground,frontmatter_only,candidate,Worktree isolation for agents.
*/skills/*/scripts/*,path_glob,True,46,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,Supporting script bundled with a skill.
*/skills/*/examples/*,path_glob,True,38,skill_support_example,standalone_or_plugin,shadow,metadata_only,candidate,Example files bundled with a skill.
*/skills/*/reference*,path_glob,True,38,skill_support_reference,standalone_or_plugin,shadow,metadata_only,candidate,Reference material bundled with a skill.
*/skills/*/template*,path_glob,True,38,skill_support_template,standalone_or_plugin,shadow,metadata_only,candidate,Template material bundled with a skill.
*/skills/*/*.py,path_glob,True,36,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,Python support file inside skill folder.
*/skills/*/*.sh,path_glob,True,36,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,Shell support file inside skill folder.
*/skills/*/*.ps1,path_glob,True,36,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,PowerShell support file inside skill folder.
*/skills/*/*.js,path_glob,True,34,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,JavaScript support file inside skill folder.
*/skills/*/*.ts,path_glob,True,34,skill_support_script,standalone_or_plugin,shadow,metadata_only,candidate,TypeScript support file inside skill folder.
*/plugins/**/bin/*,path_glob,True,32,plugin_executable,plugin,shadow,metadata_only,candidate,Plugin executable exposed on PATH while enabled.
*/plugins/**/settings.json,path_glob,True,42,plugin_settings,plugin,shadow,metadata_only,confirmed,Default settings applied when plugin is enabled.
*/.worktreeinclude,path_glob,True,34,worktree_config,project,shadow,metadata_only,confirmed,Gitignored files copied into Claude-created worktrees.
